dataset,Baseline,Global-CS,Static-SMOTE,MDO,New Rep.
cmc,0.007035,0.008441,0.007157,0.008621,0.007749
dermatology,1,1,0.805477,0.805477,1
hayes-roth,0.219934,0.611547,0.611629,0.214794,1
vehicle,0.096751,0.449305,0.449163,0.270999,0.63888
yeast,0.01928,0.053697,0.022014,0.015155,0.02459
art1,0.001493,0.08935,0.06853,0.056912,0.098455
art2,0.001,0.079853,0.044845,0.009138,0.084704
art3,0.001,0.070938,0.02242,0.008621,0.064
art4,0.002401,0.091396,0.071255,0.058109,0.092926
balance-scale,0.001,1,1,0.001,0.611963
cleveland,0.035689,0.038088,0.035549,0.036842,0.045822
cleveland_v2,0.025626,0.120021,0.041529,0.026445,0.03532
glass,0.007885,0.088056,0.079766,0.05854,0.076435
ecoli,0.09175,0.30886,0.307878,0.300618,0.075523
led7digit,0.032948,0.032948,0.032948,0.032948,0.031852
winequality-red,0.012012,0.021933,0.021151,0.017715,0.017383
thyroid,0.077992,0.086822,0.086657,0.084601,0.455291
